GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	GeneName_MeanExpression
ALG1L2	21.5	22.0	0.0	0.0	0.0	0.0	ALG1L2 21.5
ALG3	1944.25	1.0	0.0	0.0	0.0	0.0	ALG3 1944.25
ALG5	201.25	83.0	3.0	0.0	5.0	3.0	ALG5 201.25
ALG6	257.25	80.0	16.0	1.0	9.0	15.0	ALG6 257.25
ALG8	1014.75	312.0	19.0	4.0	3.0	20.0	ALG8 1014.75
ALG9	643.25	206.0	20.0	0.0	8.0	20.0	ALG9 643.25
ALK	128.75	1.0	0.0	0.0	0.0	0.0	ALK 128.75
ALKBH1	183.0	39.0	0.0	0.0	0.0	0.0	ALKBH1 183.0
ALKBH2	550.0	244.0	25.0	0.0	6.0	25.0	ALKBH2 550.0
ALKBH3	177.5	286.0	22.0	0.0	7.0	22.0	ALKBH3 177.5
ALKBH5	1569.5	18.0	0.0	0.0	0.0	0.0	ALKBH5 1569.5
ALKBH6	1107.0	26.0	0.0	0.0	0.0	0.0	ALKBH6 1107.0
ALKBH7	44.0	3.0	0.0	0.0	0.0	0.0	ALKBH7 44.0
ALKBH8	1029.25	15.0	2.0	0.0	0.0	2.0	ALKBH8 1029.25
ALOX15B	0.25	79.0	4.0	0.0	0.0	4.0	ALOX15B 0.25
ALOXE3	5.0	214.0	50.0	6.0	19.0	52.0	ALOXE3 5.0
ALPK1	686.5	53.0	4.0	0.0	0.0	4.0	ALPK1 686.5
ALPK2	66.5	360.0	44.0	0.0	0.0	44.0	ALPK2 66.5
ALS2	571.0	1.0	0.0	0.0	0.0	0.0	ALS2 571.0
AMBRA1	1016.0	40.0	12.0	0.0	0.0	12.0	AMBRA1 1016.0
AMD1	3405.75	74.0	6.0	0.0	1.0	6.0	AMD1 3405.75
AMER1	101.5	14.0	0.0	0.0	0.0	0.0	AMER1 101.5
AMER2	55.0	3.0	0.0	0.0	0.0	0.0	AMER2 55.0
AMER3	48.0	20.0	0.0	0.0	0.0	0.0	AMER3 48.0
AMIGO1	641.75	198.0	13.0	2.0	5.0	13.0	AMIGO1 641.75
AMMECR1	513.5	103.0	4.0	0.0	0.0	4.0	AMMECR1 513.5
AMN	36.5	10.0	2.0	0.0	0.0	2.0	AMN 36.5
AMN1	409.5	70.0	11.0	0.0	2.0	11.0	AMN1 409.5
AMOT	74.5	22.0	0.0	0.0	0.0	0.0	AMOT 74.5
AMPD2	410.75	248.0	17.0	4.0	9.0	16.0	AMPD2 410.75
AMPD3	621.0	45.0	9.0	0.0	0.0	9.0	AMPD3 621.0
AMY2B	613.5	22.0	1.0	0.0	0.0	1.0	AMY2B 613.5
AMZ2	1129.75	685.0	112.0	0.0	17.0	112.0	AMZ2 1129.75
ANAPC1	4128.0	93.0	3.0	0.0	1.0	3.0	ANAPC1 4128.0
ANAPC10	93.25	298.0	24.0	1.0	8.0	24.0	ANAPC10 93.25
ANAPC15	1343.0	649.0	43.0	0.0	9.0	43.0	ANAPC15 1343.0
ANAPC5	3688.75	34.0	2.0	0.0	0.0	2.0	ANAPC5 3688.75
ANAPC7	1502.25	17.0	4.0	0.0	2.0	4.0	ANAPC7 1502.25
ANGEL2	869.25	14.0	0.0	0.0	0.0	0.0	ANGEL2 869.25
ANGPT1	61.25	1.0	0.0	0.0	0.0	0.0	ANGPT1 61.25
ANGPT2	554.75	139.0	3.0	0.0	0.0	3.0	ANGPT2 554.75
ANGPT4	60.25	19.0	6.0	0.0	0.0	6.0	ANGPT4 60.25
ANGPTL1	22.75	6.0	0.0	0.0	0.0	0.0	ANGPTL1 22.75
ANGPTL3	1.5	3.0	0.0	0.0	0.0	0.0	ANGPTL3 1.5
ANGPTL5	1.0	57.0	9.0	0.0	0.0	9.0	ANGPTL5 1.0
ANGPTL7	98.25	3.0	0.0	0.0	0.0	0.0	ANGPTL7 98.25
ANK1	350.75	1.0	0.0	0.0	0.0	0.0	ANK1 350.75
ANK2	0.75	67.0	0.0	0.0	0.0	0.0	ANK2 0.75
ANK3	2788.25	351.0	10.0	0.0	0.0	10.0	ANK3 2788.25
ANKAR	83.0	43.0	4.0	0.0	0.0	4.0	ANKAR 83.0
ANKDD1A	898.5	263.0	21.0	0.0	0.0	21.0	ANKDD1A 898.5
ANKEF1	122.5	81.0	5.0	0.0	0.0	5.0	ANKEF1 122.5
ANKFN1	2.75	18.0	0.0	0.0	0.0	0.0	ANKFN1 2.75
ANKFY1	2183.25	175.0	12.0	1.0	2.0	13.0	ANKFY1 2183.25
ANKHD1	3823.5	625.0	12.0	0.0	14.0	12.0	ANKHD1 3823.5
ANKMY1	604.5	1.0	0.0	0.0	0.0	0.0	ANKMY1 604.5
ANKMY2	46.5	13.0	4.0	0.0	0.0	4.0	ANKMY2 46.5
ANKRD10	1164.5	44.0	2.0	0.0	0.0	2.0	ANKRD10 1164.5
ANKRD11	11882.0	115.0	17.0	0.0	0.0	17.0	ANKRD11 11882.0
ANKRD12	2838.75	465.0	65.0	15.0	6.0	74.0	ANKRD12 2838.75
ANKRD13D	512.5	48.0	13.0	4.0	0.0	14.0	ANKRD13D 512.5
ANKRD23	71.0	83.0	11.0	1.0	0.0	12.0	ANKRD23 71.0
ANKRD24	30.5	111.0	11.0	0.0	1.0	11.0	ANKRD24 30.5
ANKRD26	285.0	41.0	0.0	0.0	0.0	0.0	ANKRD26 285.0
ANKRD36B	2665.5	40.0	4.0	0.0	0.0	4.0	ANKRD36B 2665.5
ANKRD39	464.0	58.0	5.0	0.0	0.0	5.0	ANKRD39 464.0
ANKRD40	2902.75	19.0	4.0	0.0	2.0	4.0	ANKRD40 2902.75
ANKRD42	374.0	874.0	74.0	10.0	8.0	79.0	ANKRD42 374.0
ANKRD44	7751.25	72.0	12.0	1.0	6.0	12.0	ANKRD44 7751.25
ANKRD46	555.5	615.0	30.0	0.0	4.0	30.0	ANKRD46 555.5
