GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	ATAC_ABC_count	ATAC_CHiCAGO_count	H3K27ac_ABC_count	H3K27ac_CHiCAGO_count	H3K4me3_ABC_count	H3K4me3_CHiCAGO_count	RE_ABC_count	RE_CHiCAGO_count	GeneName_MeanExpression
ADAMTS1	93.0	2.0	3.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	ADAMTS1 93.0
ADAMTS10	91.5	2.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	ADAMTS10 91.5
ADAMTS16	15.75	1.0	3.0	1.0	2.0	1.0	3.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	ADAMTS16 15.75
ADAMTS17	399.5	2.0	5.0	0.0	0.0	5.0	1.0	4.0	0.0	0.0	0.0	0.0	1.0	4.0	ADAMTS17 399.5
ADAMTS4	739.0	3.0	13.0	3.0	4.0	12.0	13.0	0.0	3.0	0.0	4.0	0.0	12.0	0.0	ADAMTS4 739.0
ADAMTS6	33.0	23.0	27.0	3.0	6.0	27.0	8.0	19.0	0.0	3.0	2.0	4.0	8.0	19.0	ADAMTS6 33.0
ADAMTS7	9.25	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	ADAMTS7 9.25
ADAMTS8	3.75	14.0	15.0	0.0	1.0	15.0	5.0	10.0	0.0	0.0	1.0	0.0	5.0	10.0	ADAMTS8 3.75
ADAMTS9	17.5	3.0	3.0	1.0	2.0	4.0	3.0	0.0	1.0	0.0	2.0	0.0	4.0	0.0	ADAMTS9 17.5
ADAMTSL2	32.0	8.0	24.0	3.0	0.0	24.0	4.0	20.0	3.0	0.0	0.0	0.0	4.0	20.0	ADAMTSL2 32.0
ADAMTSL4	139.0	5.0	37.0	8.0	7.0	33.0	37.0	0.0	8.0	0.0	7.0	0.0	33.0	0.0	ADAMTSL4 139.0
ADAMTSL5	273.5	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	ADAMTSL5 273.5
ADAP1	170.0	4.0	8.0	0.0	2.0	8.0	8.0	0.0	0.0	0.0	2.0	0.0	8.0	0.0	ADAP1 170.0
ADAR	13712.5	12.0	11.0	2.0	4.0	13.0	2.0	9.0	1.0	1.0	1.0	3.0	3.0	10.0	ADAR 13712.5
ADARB2	112.5	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	ADARB2 112.5
ADAT1	570.75	23.0	39.0	5.0	16.0	33.0	6.0	33.0	0.0	5.0	0.0	16.0	6.0	27.0	ADAT1 570.75
ADCY1	82.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ADCY1 82.0
ADCY10	2.75	3.0	9.0	1.0	2.0	9.0	1.0	8.0	1.0	0.0	2.0	0.0	1.0	8.0	ADCY10 2.75
ADCY10P1	163.25	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ADCY10P1 163.25
ADCY2	380.25	3.0	1.0	1.0	3.0	1.0	1.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0	ADCY2 380.25
ADCY3	947.25	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	ADCY3 947.25
ADCY4	135.5	4.0	10.0	0.0	1.0	10.0	10.0	0.0	0.0	0.0	1.0	0.0	10.0	0.0	ADCY4 135.5
ADCY6	31.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	ADCY6 31.0
ADCY7	2006.25	19.0	32.0	1.0	1.0	32.0	14.0	18.0	0.0	1.0	0.0	1.0	14.0	18.0	ADCY7 2006.25
ADCYAP1R1	2.0	4.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	ADCYAP1R1 2.0
ADD2	792.5	1.0	7.0	2.0	1.0	4.0	7.0	0.0	2.0	0.0	1.0	0.0	4.0	0.0	ADD2 792.5
ADGB	97.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	ADGB 97.0
