GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	ATAC_ABC_count	ATAC_CHiCAGO_count	H3K27ac_ABC_count	H3K27ac_CHiCAGO_count	H3K4me3_ABC_count	H3K4me3_CHiCAGO_count	RE_ABC_count	RE_CHiCAGO_count	GeneName_MeanExpression
NUTM2B	1.1666666666666667	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	NUTM2B 1.1666666666666667
NUTM2G	3.5	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NUTM2G 3.5
NVL	1154.8333333333333	6.0	5.0	3.0	3.0	3.0	1.0	4.0	1.0	2.0	1.0	2.0	1.0	2.0	NVL 1154.8333333333333
NWD1	62.66666666666666	2.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	NWD1 62.66666666666666
NXF4	2.333333333333333	2.0	3.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	NXF4 2.333333333333333
NXNL1	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NXNL1 1.0
NXNL2	74.16666666666667	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NXNL2 74.16666666666667
NXPE3	1070.6666666666667	18.0	15.0	1.0	5.0	16.0	0.0	15.0	0.0	1.0	0.0	5.0	0.0	16.0	NXPE3 1070.6666666666667
NXPH3	1.6666666666666667	4.0	5.0	0.0	1.0	5.0	4.0	1.0	0.0	0.0	1.0	0.0	4.0	1.0	NXPH3 1.6666666666666667
NYAP2	32.5	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	NYAP2 32.5
NYNRIN	6.666666666666667	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NYNRIN 6.666666666666667
OAS2	1384.1666666666667	7.0	5.0	4.0	4.0	8.0	2.0	3.0	3.0	1.0	1.0	3.0	4.0	4.0	OAS2 1384.1666666666667
OAS3	479.8333333333333	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	OAS3 479.8333333333333
OASL	266.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OASL 266.5
OAZ1	11692.166666666666	3.0	5.0	0.0	2.0	5.0	5.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	OAZ1 11692.166666666666
OAZ2	4606.166666666667	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OAZ2 4606.166666666667
OAZ3	179.83333333333334	6.0	4.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	OAZ3 179.83333333333334
OCEL1	197.83333333333331	1.0	3.0	0.0	1.0	3.0	3.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	OCEL1 197.83333333333331
OCIAD2	3041.1666666666665	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	OCIAD2 3041.1666666666665
ODF2L	2643.5	13.0	12.0	3.0	1.0	15.0	2.0	10.0	1.0	2.0	0.0	1.0	3.0	12.0	ODF2L 2643.5
ODF3	2.833333333333333	4.0	7.0	0.0	2.0	7.0	7.0	0.0	0.0	0.0	2.0	0.0	7.0	0.0	ODF3 2.833333333333333
ODF3B	18.5	1.0	2.0	2.0	0.0	3.0	2.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	ODF3B 18.5
ODF3L1	4.5	2.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	ODF3L1 4.5
OGFR	63.833333333333336	3.0	4.0	1.0	0.0	3.0	4.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	OGFR 63.833333333333336
OGN	27.666666666666668	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	OGN 27.666666666666668
OGT	2758.1666666666665	3.0	4.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	OGT 2758.1666666666665
OLFM2	11.5	3.0	2.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	OLFM2 11.5
OLFM4	48.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	OLFM4 48.0
OLFML1	28.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OLFML1 28.0
OLFML2A	84.66666666666667	2.0	3.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	OLFML2A 84.66666666666667
OLFML2B	25.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OLFML2B 25.0
OLFML3	1.0	4.0	2.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	OLFML3 1.0
OLR1	22.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	OLR1 22.0
OMD	76.0	3.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	OMD 76.0
OMG	15.166666666666666	3.0	3.0	6.0	5.0	9.0	3.0	0.0	5.0	1.0	5.0	0.0	8.0	1.0	OMG 15.166666666666666
OOEP	7.333333333333333	4.0	6.0	2.0	2.0	6.0	6.0	0.0	2.0	0.0	2.0	0.0	6.0	0.0	OOEP 7.333333333333333
OPCML	226.5	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	OPCML 226.5
OPHN1	1102.3333333333333	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OPHN1 1102.3333333333333
OPN1SW	9.333333333333334	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OPN1SW 9.333333333333334
OPRK1	16.5	3.0	3.0	0.0	1.0	3.0	3.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	OPRK1 16.5
OPRM1	27.0	2.0	4.0	1.0	2.0	4.0	4.0	0.0	1.0	0.0	2.0	0.0	4.0	0.0	OPRM1 27.0
OR10G3	149.83333333333334	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	OR10G3 149.83333333333334
OR10G4	48.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OR10G4 48.0
OR10H1	241.83333333333331	3.0	4.0	1.0	1.0	4.0	4.0	0.0	1.0	0.0	1.0	0.0	4.0	0.0	OR10H1 241.83333333333331
OR10H5	255.16666666666663	1.0	4.0	1.0	1.0	4.0	4.0	0.0	1.0	0.0	1.0	0.0	4.0	0.0	OR10H5 255.16666666666663
OR1A1	389.6666666666667	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OR1A1 389.6666666666667
OR1D2	92.16666666666669	1.0	2.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	OR1D2 92.16666666666669
OR1F2P	1.1666666666666667	1.0	5.0	0.0	2.0	5.0	5.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	OR1F2P 1.1666666666666667
OR1I1	292.1666666666667	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	OR1I1 292.1666666666667
OR1K1	2.6666666666666665	4.0	9.0	1.0	0.0	9.0	9.0	0.0	1.0	0.0	0.0	0.0	9.0	0.0	OR1K1 2.6666666666666665
OR1M1	71.16666666666667	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OR1M1 71.16666666666667
OR2A4	13.0	4.0	8.0	1.0	0.0	7.0	8.0	0.0	1.0	0.0	0.0	0.0	7.0	0.0	OR2A4 13.0
OR2A7	12.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OR2A7 12.5
OR2AG1	22.666666666666668	3.0	3.0	3.0	1.0	4.0	3.0	0.0	3.0	0.0	1.0	0.0	4.0	0.0	OR2AG1 22.666666666666668
OR2AG2	22.83333333333333	4.0	3.0	3.0	1.0	4.0	3.0	0.0	3.0	0.0	1.0	0.0	4.0	0.0	OR2AG2 22.83333333333333
OR2B11	87.33333333333333	2.0	2.0	1.0	2.0	2.0	2.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	OR2B11 87.33333333333333
OR2F1	26.0	1.0	2.0	6.0	0.0	6.0	2.0	0.0	6.0	0.0	0.0	0.0	6.0	0.0	OR2F1 26.0
OR2G6	87.5	1.0	4.0	0.0	1.0	4.0	4.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	OR2G6 87.5
