H3K4me3_count	Gene_Name	Mean_Gene_Expression
0	CEP112	1104.0
0	CEP126	503.0
0	CEP170B	127.0
0	CEP250	1690.25
0	CEP63	1176.5
0	CEP68	1046.0
0	CEP85	650.5
0	CES3	226.0
0	CETP	141.75
0	CFAP157	107.5
0	CFAP206	25.25
0	CFAP221	405.25
0	CFAP43	1.75
0	CFAP44	284.25
0	CFAP45	44.75
0	CFAP69	713.75
0	CFAP73	8.0
0	CFAP77	2.5
0	CFB	136.0
0	CFDP1	1437.5
0	CFH	35.75
0	CFP	502.0
0	CFTR	18.25
0	CGA	7.25
0	CGREF1	72.75
0	CGRRF1	102.25
0	CHAF1A	1053.25
0	CHAF1B	1388.25
0	CHAMP1	499.25
0	CHAT	4.25
0	CHCHD1	120.25
0	CHCHD2	1483.0
0	CHCHD6	64.75
0	CHD1	1738.0
0	CHD6	2711.25
0	CHD9	631.25
0	CHDH	194.75
0	CHEK2	1107.75
0	CHID1	1086.5
0	CHIT1	24.75
0	CHN1	83.25
0	CHN2	140.75
0	CHODL	16.0
0	CHST10	202.5
0	CHST11	2341.0
0	CHST15	17.75
0	CHST2	110.0
0	CHST4	10.75
0	CHST9	41.0
0	CHTOP	4719.75
0	CIAPIN1	661.0
0	CIART	195.5
0	CIB2	21.5
0	CIB3	0.75
0	CIDEC	0.5
0	CIR1	1546.75
0	CIRBP	3274.0
0	CIT	385.0
0	CITED4	35.25
0	CKAP5	1426.0
0	CKS1B	334.0
0	CLC	74.5
0	CLCC1	2807.0
0	CLCN2	451.0
0	CLCN4	4.5
0	CLCN5	315.0
0	CLDN11	187.5
0	CLDN12	116.25
0	CLDN14	3.0
0	CLDN16	52.5
0	CLDN18	30.5
0	CLEC1B	0.25
0	CLEC2B	514.5
0	CLEC2D	6874.25
0	CLEC3A	64.25
0	CLEC3B	6.25
0	CLEC4C	26.25
0	CLEC4D	1.0
0	CLEC4E	96.25
0	CLEC7A	528.0
0	CLECL1	77.5
0	CLHC1	116.25
0	CLIC2	26.75
0	CLIC4	192.0
0	CLIC5	336.0
0	CLINT1	5665.5
