RE_count	Gene_Name	Mean_Gene_Expression
0	ICE2	973.1666666666666
0	IDH3B	1523.5
0	IGFBP7	108.0
0	IKBKG	216.66666666666663
0	IL18	542.6666666666666
0	IL1A	0.1666666666666666
0	IL1RAP	126.16666666666669
0	ILKAP	625.1666666666666
0	INCA1	16.333333333333332
0	INTS9	1024.3333333333333
0	IP6K1	722.0
0	IQCB1	1145.0
0	IQCH	72.66666666666667
0	IRF3	872.0
0	ISOC1	603.5
0	ITFG2	1528.3333333333333
0	ITGA9	22.0
0	ITPR2	786.3333333333334
0	ITSN2	1086.8333333333333
0	JADE3	17.833333333333332
0	JOSD1	783.8333333333334
0	KAT6B	2300.833333333333
0	KCNAB1	63.5
0	KCNAB2	903.0
0	KCNJ14	102.66666666666669
0	KCNRG	28.5
0	KCTD3	67.0
0	KCTD4	0.5
0	KDM4C	1532.5
0	KDM5C	428.6666666666667
0	KDM7A	110.83333333333331
0	KIAA0100	510.8333333333333
0	KIAA0232	633.8333333333334
0	KIAA0319L	2160.5
0	KIAA0586	1140.5
0	KIAA0753	154.0
0	KIAA1191	1170.6666666666667
0	KIAA1549L	1.1666666666666667
0	KIF13B	693.6666666666666
0	KIF1B	455.1666666666667
0	KIF21A	74.33333333333333
0	KIF24	27.83333333333333
0	KIR2DL4	450.3333333333333
0	KIR3DL1	10.0
0	KIR3DX1	224.0
0	KLC1	359.3333333333333
0	KLHL13	33.166666666666664
0	KLHL9	734.6666666666666
0	KMT2C	3356.6666666666665
0	KPNA3	724.0
0	KPNA4	1513.8333333333333
0	KRBOX4	1549.3333333333333
0	KRT78	56.0
0	KSR2	6.333333333333333
0	KTI12	177.16666666666666
0	KTN1	2438.333333333333
0	L1CAM	0.1666666666666666
0	L3MBTL4	200.33333333333331
0	LAIR2	133.66666666666666
0	LAMP1	820.6666666666666
0	LANCL1	416.8333333333333
0	LAPTM4A	2810.6666666666665
0	LARP1B	214.66666666666663
0	LARP4	773.6666666666666
0	LARP4B	1615.6666666666667
0	LDHB	9803.666666666666
0	LDLR	651.1666666666666
0	LGR4	7.5
0	LHFPL2	36.16666666666666
0	LIFR	0.5
0	LIMA1	422.5
0	LIPH	84.66666666666667
0	LIPJ	0.1666666666666666
0	LMAN1	1674.6666666666667
0	LPAR4	1.1666666666666667
0	LRIT3	5.0
0	LRRC20	62.333333333333336
0	LRRC58	1053.6666666666667
0	LRRC6	5.333333333333333
0	LRRC7	17.166666666666668
0	LRRIQ1	16.833333333333332
0	LRRTM2	2.0
0	LSM6	1014.0
0	LSM8	2143.1666666666665
0	LYG2	41.66666666666666
0	MACROD2	91.33333333333331
0	MAGEH1	389.1666666666667
0	MAGI2	96.66666666666669
0	MAGOH	1120.6666666666667
0	MALRD1	31.83333333333333
0	MAN2A2	1050.3333333333333
0	MANEA	634.5
0	MANEAL	32.0
0	MAP1LC3A	14.5
0	MAP2	28.166666666666668
0	MAP2K7	424.6666666666667
0	MAP3K13	2032.1666666666667
0	MAP4	4426.333333333333
0	MAPK8	337.8333333333333
0	MAPKAP1	316.8333333333333
0	MAPKAPK5	752.5
0	MAST2	155.66666666666666
0	MBD6	479.6666666666667
0	MBTPS1	1388.1666666666667
0	MCF2L2	584.0
0	MCRS1	2612.333333333333
0	MCTP1	78.33333333333333
0	MED10	1699.8333333333333
0	MED13	1356.8333333333333
0	MEFV	266.8333333333333
0	MEI4	0.6666666666666666
0	MEIG1	11.333333333333334
0	MEIS2	2.333333333333333
0	MERTK	91.16666666666669
0	METAP2	2048.6666666666665
0	MFSD5	490.5
0	MGAT4C	79.33333333333333
0	MICAL1	1860.5
0	MICU2	477.0
0	MID1IP1	112.66666666666669
0	MIEF2	109.5
0	MIER1	4735.666666666667
0	MIPOL1	2207.6666666666665
0	MLF1	75.33333333333333
0	MMRN1	247.33333333333331
0	MNDA	2.0
0	MON2	1015.8333333333334
