	SRX5797708	SRX5797709	SRX5797712	SRX5797713	SRX5797716	SRX5797717
DGKZ	2528	866	317	472	646	718
DGLUCY	857	1532	1390	985	611	1572
DGUOK	2528	3809	1666	2126	1785	1944
DHCR24	10	65	57	60	12	42
DHCR7	345	325	314	273	653	280
DHDDS	1360	1740	704	1011	894	1227
DHDH	199	2	70	22	0	2
DHFR	280	989	368	311	87	354
DHFR2	265	576	315	394	15	237
DHH	20	41	21	23	18	14
DHODH	503	1333	746	943	157	895
DHPS	1372	2249	1451	1300	1414	1642
DHRS1	808	685	358	525	82	415
DHRS11	1	111	21	58	5	25
DHRS12	92	144	239	70	0	166
DHRS13	45	122	0	59	2	63
DHRS2	34	65	37	38	13	47
DHRS3	8765	10091	4117	4543	2714	6605
DHRS4	630	573	468	277	232	286
DHRS4L1	11	0	1	1	0	6
DHRS4L2	156	192	197	91	101	124
DHRS7	8009	9335	3833	4300	2460	5989
DHRS7B	750	979	269	660	1450	660
DHRS9	0	18	0	30	6	21
DHRSX	183	247	216	148	1085	207
DHTKD1	103	1210	948	927	145	957
DHX15	2411	4665	1702	2633	2474	2913
DHX16	513	948	371	271	1	494
DHX29	1268	1234	978	767	609	743
DHX30	1291	1919	1057	1066	1841	1477
DHX32	50	287	211	215	2	214
DHX33	103	717	819	329	12	258
DHX34	43	207	70	106	0	95
DHX35	738	850	518	524	56	706
DHX36	1283	1612	747	1451	141	1166
DHX37	43	136	25	130	42	54
DHX38	402	1068	564	577	338	632
DHX40	605	752	578	542	235	658
DHX40P1	6	0	0	3	0	10
DHX57	441	869	755	622	87	595
DHX58	594	647	633	528	0	365
DHX8	1512	3283	1779	2040	1407	2302
DHX9	3225	5135	1691	3319	1985	4579
DIABLO	1758	2674	1229	1568	153	1480
DIAPH1	4218	4490	1269	2289	992	3854
DIAPH2	203	194	317	232	625	485
DIAPH3	20	105	28	42	12	34
DICER1	1691	1169	388	957	494	825
DIDO1	498	801	264	469	301	749
DIMT1	1000	1040	380	579	393	937
DIO1	0	9	24	9	0	3
DIO2	0	1	14	2	8	0
DIP2A	1581	4007	1260	1615	158	2540
DIP2B	523	520	430	407	11	485
DIP2C	0	34	0	12	0	18
DIPK1A	281	167	128	342	48	269
DIPK1B	0	7	0	2	1	1
DIPK1C	0	63	18	81	310	44
DIPK2A	383	1148	576	779	10	930
DIPK2B	18	35	33	18	25	22
DIRAS2	148	553	337	447	178	339
DIRAS3	0	11	0	0	0	15
DIRC1	4	14	10	1	11	12
DIS3	241	943	328	682	1376	656
DIS3L	980	1080	545	712	126	1431
DIS3L2	692	1519	1070	848	220	858
DISC1	160	416	158	219	1286	321
DISP1	0	163	305	123	0	206
DISP2	277	634	363	457	315	475
DISP3	0	0	0	11	0	0
DIXDC1	16	29	13	19	14	30
DKC1	1680	1951	1295	1336	788	1337
DLAT	214	860	276	567	92	773
DLC1	6	12	7	8	6	4
DLD	3459	6315	3401	3822	1159	4094
DLEC1	73	170	15	92	24	120
DLEU7	0	1	2	8	101	4
DLG1	371	1076	383	652	267	702
DLG2	0	36	185	14	0	41
DLG3	36	209	132	110	1	114
DLG4	99	261	182	216	127	211
DLG5	137	463	742	276	148	662
DLGAP1	24	26	17	27	7	15
DLGAP4	1542	1291	541	638	780	1175
DLGAP5	314	202	18	20	2	28
DLK2	37	34	32	52	12	31
DLL1	451	968	336	348	288	877
DLST	453	957	458	519	122	682
DLSTP1	0	33	0	12	0	7
DMAC1	1745	1708	1034	1246	1054	1087
DMAC2	626	1444	742	867	11	1216
DMAC2L	715	1734	661	989	820	877
DMAP1	1358	1076	1023	741	361	866
DMBT1L1	8	25	17	22	19	19
DMBX1	15	49	28	30	19	12
DMC1	105	291	139	156	146	140
DMD	1119	542	348	194	48	332
DMGDH	80	286	194	142	41	196
DMKN	37	87	190	106	36	59
DMPK	84	111	35	65	0	45
DMRT1	3	6	4	2	5	4
DMRTC1	8	19	0	4	0	7
DMRTC1B	50	2	0	13	0	0
DMTF1	2221	3951	1203	2457	590	3396
DMTN	107	49	16	14	1	29
DMWD	193	594	491	323	189	378
DMXL1	528	661	395	424	476	578
DMXL2	17	133	118	55	18	60
DNA2	1	105	0	52	0	83
DNAAF1	153	334	198	180	161	198
DNAAF2	139	216	57	111	863	209
DNAAF3	0	15	0	0	0	36
DNAAF4	21	116	75	43	24	32
DNAAF5	12	238	68	116	119	121
DNAH1	1	388	90	155	184	121
DNAH10	2	34	21	9	0	20
DNAH11	2	33	7	22	2	15
DNAH12	0	24	67	3	1	11
DNAH14	54	314	225	240	36	262
DNAH17	56	277	101	135	302	211
DNAH2	48	105	56	68	43	82
DNAH3	23	57	33	26	19	27
DNAH5	2	4	1	0	2	2
DNAH6	1	48	4	8	1	7
DNAH7	29	80	28	49	32	85
DNAH9	24	121	72	85	49	63
DNAI2	0	13	2	4	0	0
DNAJA1	10153	29451	3996	8124	5437	14227
DNAJA1P2	20	74	18	77	9	51
DNAJA1P3	9	28	8	34	2	13
DNAJA2	3357	3394	1638	2036	534	2633
DNAJA3	1077	1561	819	770	2276	996
DNAJA4	471	681	180	270	301	462
DNAJB1	14819	29946	8565	10922	6889	21364
DNAJB11	2733	1000	1133	313	475	841
DNAJB12	793	2602	929	1748	403	1804
DNAJB13	61	32	37	25	10	37
DNAJB14	3845	5186	1884	2516	1836	4545
DNAJB1P1	2	6	0	2	0	4
DNAJB2	148	287	186	110	2	125
DNAJB4	788	2425	927	944	550	1200
DNAJB5	3	23	3	17	1	28
DNAJB6	4860	6818	3379	3754	4002	4664
DNAJB7	7	48	40	10	6	51
DNAJB9	2232	2473	1371	1326	267	1657
DNAJC1	469	456	78	257	456	265
DNAJC10	2396	2651	1513	1534	1377	2124
DNAJC11	58	753	544	597	776	626
DNAJC12	5	40	80	67	0	44
DNAJC13	441	819	193	496	3	555
DNAJC14	1855	2465	1442	1751	1069	2033
DNAJC15	1790	2458	1206	1095	698	1518
DNAJC16	1452	1430	795	819	139	1102
DNAJC17	583	927	730	575	574	707
DNAJC18	333	517	121	425	672	376
DNAJC19	788	1859	749	1213	310	1084
DNAJC19P7	0	6	0	3	0	7
DNAJC2	454	1028	800	541	95	667
DNAJC21	363	671	273	419	17	506
DNAJC22	94	312	125	207	148	135
DNAJC24	700	906	495	558	40	511
DNAJC25	42	165	35	79	0	65
DNAJC25-GNG10	248	364	24	151	3	126
DNAJC27	34	514	123	183	59	274
DNAJC28	8	74	52	76	16	63
DNAJC3	11117	11392	6017	6273	2147	7241
DNAJC30	22	155	60	81	10	72
DNAJC4	271	128	74	75	0	96
DNAJC5	344	349	134	204	401	276
DNAJC5B	39	62	24	42	33	41
DNAJC5G	0	15	17	19	16	9
DNAJC6	0	19	3	1	0	3
DNAJC7	2008	6397	2898	3553	1286	3275
DNAJC8	6392	9485	5507	5598	2420	5729
DNAJC9	477	1230	537	477	971	652
DNAL1	499	923	505	556	239	555
DNAL4	638	363	293	180	0	158
DNALI1	11	15	4	1	0	7
