GeneName	SRX5797708	SRX5797709	SRX5797712	SRX5797713	SRX5797716	SRX5797717	SRR4290846	SRR4290852	SRR4290853	SRR4290854
NPM1P6	9	9	0	12	6	2	0	1	16	10
NPM1P8	5	5	1	2	4	1	2	1	17	10
NPM1P9	3	1	2	1	1	1	3	4	18	15
NPM2	85	343	58	10	0	10	4	14	1	4
NPM3	355	272	0	95	621	93	44	50	1025	770
NPNT	0	0	0	0	0	2	2	0	2	4
NPPA	0	6	0	6	0	17	3	7	9	12
NPR1	0	0	0	0	0	0	0	0	3	9
NPR2	0	134	215	123	0	134	74	40	149	106
NPR3	0	3	3	0	0	0	8	4	6	10
NPRL2	1987	2323	902	1407	1432	2102	405	334	713	504
NPRL3	633	947	674	436	127	550	503	359	1052	610
NPTN	626	1264	400	574	502	999	347	337	1036	912
NPTX1	1	0	0	1	0	0	44	8	577	105
NPTX2	2	75	0	43	0	52	0	0	1	5
NPTXR	861	332	233	332	87	354	254	110	167	125
NPW	0	5	3	5	0	8	0	0	13	4
NPY6R	2	8	15	8	1	12	54	45	34	13
NQO1	1111	547	734	333	35	256	219	332	244	317
NQO2	5695	3343	1453	819	444	3148	300	445	659	619
NR1D1	1003	1477	405	714	267	1534	1374	469	736	711
NR1D2	379	566	479	537	951	776	2156	913	125	213
NR1H2	1070	1445	840	731	933	1206	687	452	1002	831
NR1H3	412	325	171	197	1	414	50	13	42	22
NR1H4	2	15	8	7	7	5	7	13	24	20
NR1I2	0	43	0	15	0	48	1	3	1	14
NR1I3	36	93	65	90	42	108	213	396	193	161
NR2C1	792	1268	509	771	671	743	462	371	331	297
NR2C2	501	2750	494	1798	72	1575	2603	2452	2647	2273
NR2C2AP	580	1370	471	768	20	927	183	235	1077	833
NR2E1	3	2	0	0	0	1	125	103	96	75
NR2E3	3	54	132	50	0	17	5	8	0	3
NR2F1	0	0	0	0	44	0	0	0	0	0
NR2F6	0	35	42	15	0	26	27	21	348	218
NR3C1	4139	4346	3043	2892	1704	3174	2096	2437	1127	727
NR3C2	656	100	636	142	208	181	964	686	61	87
NR4A1	1032	1417	365	459	1743	869	125	136	1799	1433
NR4A2	634	559	255	103	850	1006	4213	764	1397	332
NR4A3	1	197	19	47	0	115	215	56	1221	942
NR5A1	0	14	0	15	0	2	0	0	0	0
NR5A2	44	108	76	94	60	93	381	432	259	364
NR6A1	1160	205	85	101	19	121	31	41	573	359
NRADDP	0	7	0	30	0	13	9	12	14	21
NRARP	0	2	0	0	0	4	1	6	259	51
NRAS	879	1616	1469	1091	890	1188	942	708	4666	3731
NRBF2	768	1698	624	900	61	877	307	320	785	861
NRBF2P4	0	0	0	0	0	29	1	0	1	0
NRBF2P5	0	6	0	0	0	4	13	14	39	66
NRBP1	2557	3976	1527	2403	2049	2387	3001	2138	3245	3384
NRBP2	4	122	27	44	0	54	503	595	77	205
NRCAM	0	0	14	0	0	0	104	0	1	6
NRDC	2297	4167	2093	2328	2990	2295	3328	2908	7921	6914
NRDE2	364	2762	1672	598	960	1818	3098	513	1043	3503
NREP	249	620	189	449	10	412	317	484	1246	197
NRF1	1195	730	369	531	0	587	530	377	526	515
NRG1	3	9	4	9	9	0	5	2	0	7
NRG3	0	0	0	1	0	0	34	24	27	20
NRG4	77	170	71	120	68	136	158	77	119	104
NRGN	0	2	0	0	0	0	30	0	35	1
NRIP1	1141	1890	559	1349	208	1575	1316	950	1834	1427
NRIP2	33	299	387	222	17	160	351	380	212	294
NRIP3	251	223	293	136	595	232	182	207	211	315
NRK	3	7	1	1	0	1	12	5	3	8
NRL	11	25	5	15	25	16	16	11	24	26
NRM	559	580	179	312	2	273	173	220	471	248
NRN1	1	0	0	0	0	1	0	52	6	9
NRN1L	0	9	4	4	0	6	21	26	21	8
NRP1	3482	5861	9739	8486	2090	4443	136	153	222	239
NRP2	24	41	30	32	30	43	332	281	215	347
NRROS	373	217	8	34	14	170	94	141	271	287
NRSN1	50	212	63	88	44	83	2313	1790	1951	1445
NRSN2	2	493	137	455	0	247	43	38	148	58
NRXN1	2	2	0	10	1	9	87	148	44	93
NRXN2	0	7	0	0	0	4	0	0	19	4
NRXN3	29	142	35	48	27	42	118	134	110	147
NSA2	1152	2134	1254	1475	434	1391	2667	1878	6959	4302
NSA2P1	0	58	1	23	0	48	1	3	12	7
NSA2P2	1	0	4	0	0	1	1	0	1	3
NSA2P3	0	0	1	1	0	0	4	3	5	1
NSA2P5	0	13	14	3	0	2	15	7	23	16
NSA2P6	0	4	0	6	1	3	16	18	31	27
NSA2P7	0	0	0	0	0	0	3	9	18	6
NSD1	2731	2117	1233	1281	504	1419	3036	3020	3269	4152
NSD2	811	1198	660	559	311	697	1562	1401	3080	2530
NSD3	1038	2164	1756	1434	706	1430	6027	7290	4804	5239
NSDHL	759	673	364	347	0	393	66	43	582	359
NSF	1383	2112	1300	1123	177	1008	381	185	526	390
NSFL1C	2389	3476	2087	1431	857	1815	354	300	1108	889
NSFP1	28	217	165	337	0	69	327	409	89	299
NSG1	79	84	57	82	41	113	163	220	264	236
NSL1	1697	1878	901	953	393	1279	139	172	338	222
