CD4_enhancer_counts_bins	Gene_Name	Mean_Gene_Expression
1	ZNF593	189.75
1	ZNF605	587.0
1	ZNF607	218.0
1	ZNF703	8.0
1	ZNF713	1526.25
1	ZNF763	18.5
1	ZNF772	295.0
1	ZNF775	149.75
1	ZNF836	121.5
1	ZNF841	673.25
1	ZNF92	653.5
1	ZP3	149.75
1	ZSCAN25	998.0
1	ZSCAN30	558.25
1	ZSCAN9	75.25
1	ZSWIM8	1274.75
2	A2ML1	89.5
2	ABCB7	669.5
2	ABCG4	2.5
2	ACADM	717.25
2	ACSM1	2.75
2	ADCY10	2.75
2	ADCY9	571.0
2	ADGRB1	15.0
2	ADIPOR2	544.0
2	AGBL1	42.75
2	AGO3	3415.25
2	AIMP1	749.75
2	AKNA	7833.5
2	ALDOB	8.25
2	ALG1	545.5
2	ALG10	346.5
2	ALG10B	713.75
2	ALKBH6	1107.0
2	ALOX15B	0.25
2	AMPD3	621.0
2	ANKEF1	122.5
2	ANKRD36B	2665.5
2	ANKRD55	335.5
2	ANKS1A	1449.75
2	ANO10	210.25
2	ANO2	2.75
2	AOC1	13.75
2	AP1G2	4304.5
2	AP1S2	313.25
2	APEH	1305.5
2	APEX1	7698.75
2	APOBEC3H	15.0
2	APOL3	1834.25
2	APOL4	496.0
2	AQP6	141.75
2	ARHGAP17	1468.75
2	ARHGAP26	1518.0
2	ARHGAP27	1379.0
2	ARHGAP31	607.5
2	ARHGEF10	689.5
2	ARHGEF11	374.25
2	ARL4C	4285.25
2	ARRDC2	606.75
2	ASPA	309.75
2	ATF2	4241.5
2	ATF4	4483.0
2	ATG7	1251.0
2	ATP10A	1002.75
2	ATP6V1A	6476.25
2	ATP6V1B1	3.75
2	ATRX	2249.5
2	B3GALNT1	96.0
2	B3GALNT2	442.0
2	B3GNT8	6.0
2	B4GALT4	761.75
2	B4GALT6	68.25
2	BAAT	2.75
2	BANP	371.25
2	BAZ2B	1329.75
2	BCAP31	567.0
2	BCL10	542.5
2	BCL9L	12424.5
2	BEST4	10.0
2	BET1	308.5
2	BNIP2	3431.5
2	BRCA1	876.75
2	BRK1	931.0
2	BRMS1	470.5
2	BTBD8	119.5
2	C10orf105	10.0
2	C11orf24	732.0
2	C11orf58	2277.25
2	C15orf40	2090.5
2	C15orf61	167.75
2	C16orf46	1.75
2	C17orf49	340.75
2	C17orf75	964.75
2	C17orf97	31.25
2	C1orf109	472.0
2	C1orf116	3.25
2	C1orf159	185.25
2	C1QTNF6	438.0
2	C1R	124.25
