CD4_ABC_H3K27ac_count_bins	Gene_Name	Mean_Gene_Expression
0	C3orf20	9.5
0	C3orf52	80.25
0	C3orf62	815.25
0	C3orf70	117.5
0	C4BPA	10.5
0	C4BPB	804.25
0	C4orf17	8.0
0	C4orf19	138.75
0	C4orf3	774.75
0	C4orf33	47.0
0	C4orf36	79.75
0	C4orf45	1.25
0	C4orf47	0.5
0	C4orf48	41.5
0	C5orf15	1161.0
0	C5orf34	36.0
0	C5orf58	70.25
0	C5orf60	28.5
0	C5orf63	135.0
0	C6orf141	271.25
0	C6orf163	296.5
0	C6orf223	2.25
0	C6orf47	423.0
0	C7orf26	818.0
0	C7orf31	100.25
0	C7orf50	257.25
0	C7orf57	12.75
0	C7orf61	21.0
0	C8orf34	632.0
0	C8orf37	201.25
0	C8orf49	12.75
0	C8orf58	59.75
0	C8orf74	6.0
0	C8orf76	306.75
0	C8orf88	2.0
0	C9orf131	142.0
0	C9orf152	2.25
0	C9orf153	36.0
0	C9orf24	34.5
0	C9orf64	856.75
0	CA1	43.75
0	CA11	106.5
0	CA13	192.75
0	CA2	6.25
0	CA3	0.25
0	CA8	15.25
0	CAAP1	496.75
0	CAB39	4209.5
0	CAB39L	48.5
0	CABIN1	1982.25
0	CABLES1	103.75
0	CABLES2	294.25
0	CABP7	35.75
0	CABYR	159.0
0	CACFD1	82.75
0	CACNA1B	4.25
0	CACNA1C	87.0
0	CACNA1D	326.0
0	CACNA1F	41.75
0	CACNA1G	19.5
0	CACNA1H	52.0
0	CACNA1I	187.75
0	CACNA2D4	94.5
0	CACNB1	585.0
0	CACNB2	419.75
0	CACNB3	290.0
0	CACNB4	321.75
0	CACNG8	333.75
0	CADM4	16.25
0	CALCB	11.5
0	CALCOCO1	2369.5
0	CALCOCO2	2639.75
0	CALHM1	12.25
0	CALHM2	153.0
0	CALML4	125.25
0	CALN1	79.75
0	CAMK1	774.25
0	CAMK1D	2499.25
0	CAMK1G	3.75
0	CAMK2B	4.5
0	CAMK2D	4417.25
0	CAMK2G	1531.5
0	CAMK2N1	126.0
0	CAMKV	15.0
0	CAMLG	847.25
0	CAMSAP1	2815.75
0	CAMTA1	256.75
0	CAMTA2	1745.5
0	CANT1	425.25
0	CANX	38732.0
0	CAPG	73.75
0	CAPN14	15.25
0	CAPN15	1420.25
0	CAPN2	2451.75
0	CAPN5	133.25
0	CAPN7	889.75
0	CAPN8	6.0
0	CAPRIN2	589.5
0	CAPS2	188.25
0	CARD11	1330.25
0	CARD14	573.0
0	CARD16	85.75
0	CARD6	167.0
0	CARD8	2802.25
0	CARHSP1	1055.25
0	CARNMT1	720.5
0	CARS2	812.25
0	CASC4	3505.25
0	CASKIN1	5.75
0	CASP1	317.0
0	CASP4	860.0
0	CASP6	374.0
0	CASP7	286.0
0	CASP8AP2	781.75
0	CASS4	316.25
0	CAST	2831.25
0	CASZ1	500.0
0	CAT	396.0
0	CATSPER3	11.0
0	CATSPERG	367.25
0	CAV1	1.5
0	CAV2	339.25
0	CBARP	24.75
0	CBLL1	3804.25
0	CBR1	304.75
0	CBWD2	1400.5
0	CBX2	45.75
0	CBX3	2089.75
0	CBX4	359.75
0	CBX5	9723.0
0	CBX6	5085.0
0	CBX8	13.75
0	CBY3	1.75
0	CC2D1B	1667.0
0	CC2D2A	839.75
0	CC2D2B	52.75
0	CCBE1	285.5
0	CCDC102A	36.75
0	CCDC106	19.25
0	CCDC107	122.5
0	CCDC112	42.25
0	CCDC113	125.75
0	CCDC117	1924.25
0	CCDC12	614.25
0	CCDC124	230.5
0	CCDC125	1875.25
0	CCDC126	162.75
0	CCDC137	1716.25
0	CCDC138	258.25
0	CCDC14	1734.25
0	CCDC142	415.0
0	CCDC144A	842.25
0	CCDC144NL	7.75
0	CCDC146	82.0
0	CCDC15	63.75
0	CCDC150	458.25
0	CCDC151	15.25
0	CCDC154	7.75
0	CCDC159	310.25
0	CCDC167	211.25
0	CCDC168	19.0
0	CCDC17	165.75
0	CCDC171	284.5
0	CCDC172	3.25
0	CCDC175	0.5
0	CCDC18	165.0
0	CCDC180	857.0
0	CCDC183	86.0
0	CCDC186	1858.75
0	CCDC188	11.5
0	CCDC22	304.25
0	CCDC24	129.5
0	CCDC28A	140.75
0	CCDC28B	236.0
0	CCDC30	964.0
0	CCDC33	0.25
0	CCDC34	408.75
0	CCDC47	2507.25
0	CCDC65	81.5
0	CCDC68	0.5
0	CCDC71L	197.75
0	CCDC74B	2.5
0	CCDC80	183.75
0	CCDC82	602.5
0	CCDC83	12.0
0	CCDC85C	1027.75
0	CCDC86	2705.5
0	CCDC88B	946.5
0	CCDC91	2234.5
0	CCDC92	1044.5
0	CCDC96	27.75
0	CCL15	14.75
0	CCL16	479.5
0	CCL17	17.75
0	CCL19	5.0
0	CCL20	361.0
0	CCL22	494.5
0	CCL27	93.75
0	CCL3	4627.0
0	CCL3L3	380.75
0	CCL4	4073.5
0	CCL4L2	425.0
0	CCL5	8313.5
0	CCM2	1055.5
0	CCNA2	143.0
0	CCNB1	104.5
0	CCNB3	20.25
0	CCND1	275.0
0	CCND3	6089.25
0	CCNE2	102.0
0	CCNF	235.25
0	CCNI	4186.75
0	CCNJ	422.25
0	CCNJL	345.25
0	CCNT1	1542.0
0	CCNT2	1957.25
0	CCNY	2114.5
0	CCNYL1	1029.75
0	CCNYL2	39.5
0	CCPG1	2031.75
0	CCR1	52.25
0	CCR10	37.75
0	CCR2	95.75
0	CCR3	47.75
0	CCR4	3127.0
0	CCR5	391.0
0	CCR6	298.5
0	CCR8	42.5
0	CCR9	75.75
0	CCRL2	40.0
0	CCSAP	393.25
0	CCSER1	60.75
0	CCSER2	4883.5
0	CCT2	4420.5
0	CCT3	4821.5
0	CCT4	1473.0
0	CCT6P1	178.0
0	CCT6P3	402.5
0	CCT8	2689.5
0	CD109	894.75
0	CD14	23.75
0	CD151	918.75
0	CD160	214.0
0	CD177	1.75
0	CD200	1146.75
0	CD200R1	368.75
0	CD209	68.25
0	CD226	4638.0
0	CD244	100.25
0	CD248	67.0
0	CD274	1564.5
0	CD276	52.0
0	CD300A	154.0
0	CD300E	64.5
0	CD300LB	4.75
0	CD300LF	7.5
0	CD34	166.25
0	CD36	172.75
